State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.40088	1.41531	1.44256	1.43134	1.41691	1.39607	1.42172	1.52270	1.51789	1.52911	1.54834	1.63490	1.65413	1.75511	1.76954	1.83525	1.82403	1.80640	1.83205	1.82564	1.87693
2	1.65923	1.50578	1.52016	1.52975	1.52975	1.60648	1.78391	1.78391	1.79350	1.81748	1.89900	1.96134	2.02848	2.11480	2.12919	2.14357	2.16755	2.12439	2.08123	2.12439	2.11480
3	4.55124	4.47355	4.33043	4.24456	4.08508	3.96649	3.78657	3.72114	3.61073	3.47170	3.48397	3.52895	3.54531	3.49624	3.62300	3.63527	3.59847	3.63527	3.52486	3.55758	3.55758
4	3.33364	3.39476	3.37596	3.37126	3.32894	3.39947	3.44178	3.52172	3.51701	3.41827	3.27252	3.05153	2.88696	2.83994	2.75061	2.76001	2.76471	2.83994	2.91987	2.76001	2.71299
5	0.96217	0.92430	0.89905	0.88222	0.91167	0.87941	0.87100	0.82892	0.81209	0.75458	0.74336	0.73074	0.73916	0.70269	0.71110	0.67183	0.68025	0.66763	0.66342	0.69848	0.71391
6	1.60722	1.62501	1.62412	1.61789	1.61612	1.62545	1.62945	1.64012	1.65257	1.67569	1.70237	1.73216	1.76772	1.79707	1.83175	1.85264	1.89577	1.91133	1.94779	1.96201	1.96913
7	0.56433	0.56370	0.56448	0.56879	0.57261	0.57421	0.57692	0.57944	0.58482	0.59426	0.60336	0.61043	0.61905	0.62811	0.63522	0.64317	0.65043	0.65876	0.66408	0.66844	0.67164
8	0.80525	0.79006	0.82045	0.71409	0.74448	0.94199	1.16989	1.04835	0.98757	0.86603	0.68370	1.00277	0.95719	0.92680	0.91161	0.91161	0.89641	0.92680	0.85083	1.01796	1.04835
9	1.28202	1.29088	1.29834	1.30067	1.30067	1.29973	1.29414	1.29181	1.28155	1.26290	1.25032	1.23400	1.21396	1.19251	1.18552	1.16594	1.16174	1.15102	1.14543	1.14543	1.14356
10	4.57750	4.58491	4.58827	4.56538	4.53778	4.51691	4.46305	4.39774	4.34927	4.27184	4.13584	3.98705	3.84365	3.68341	3.52250	3.39458	3.23771	3.11518	3.00140	2.90916	2.83443
