State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.91405	3.24930	3.45442	3.78826	4.05986	4.31307	4.24800	3.53788	2.55191	2.86595	3.00034	1.85735	1.72579	1.76116	1.79935	2.01296	2.19827	2.24919	2.24778	2.17280	2.08510
2	2.75518	2.91178	3.15301	3.33500	3.63125	3.75399	4.30418	4.61313	4.28302	3.41541	2.68747	2.48432	2.02301	1.71829	1.59978	1.65903	1.67173	1.70136	1.57016	1.59132	1.64634
3	5.71648	6.78832	8.32210	10.91328	14.94802	20.36858	27.17855	35.05315	42.05801	44.03207	46.09996	49.98313	49.52841	47.25481	42.31424	33.73591	24.43940	17.23245	12.18000	8.80208	6.53209
4	9.32841	10.19984	11.03391	11.55677	11.61902	11.18330	10.45711	9.90521	8.75576	7.79304	6.25352	5.11652	5.50243	6.91331	10.96337	18.18376	25.37925	28.97284	29.85257	28.59523	25.98925
5	1.37276	1.12396	0.93828	0.78479	0.65853	0.60159	0.55208	0.51866	0.50999	0.51247	0.51494	0.51247	0.50999	0.51989	0.54094	0.58674	0.70186	1.07940	1.63890	2.35190	3.09955
6	2.04508	1.99015	1.90187	1.79043	1.61896	1.43886	1.21991	1.03981	0.92719	0.88364	0.87030	0.88756	0.91581	0.96329	1.00842	1.07865	1.19127	1.34429	1.50242	1.64682	1.76767
7	0.65135	0.63447	0.61758	0.58912	0.55374	0.50762	0.45805	0.41194	0.38809	0.37792	0.37151	0.36924	0.37416	0.38172	0.39155	0.40078	0.41309	0.42835	0.43865	0.44907	0.45916
8	0.73749	0.73749	0.73749	0.69727	0.65704	0.60340	0.63022	0.73749	0.64363	0.52295	0.54977	0.84476	0.69727	0.53636	0.57658	0.67045	0.73749	0.57658	0.79113	0.71067	0.60340
9	1.23471	1.24335	1.24418	1.25117	1.25693	1.27339	1.27791	1.26886	1.26475	1.27257	1.29273	1.30219	1.31988	1.33058	1.33757	1.33881	1.33058	1.32235	1.32194	1.31577	1.30096
10	0.73917	0.69995	0.66430	0.62687	0.60369	0.56982	0.53952	0.51516	0.50328	0.50625	0.50981	0.52170	0.53239	0.54249	0.54962	0.56745	0.60013	0.64053	0.70530	0.77660	0.89663
