state (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	2.18152	1.85462	1.24754	1.04134	1.54690	3.00043	2.79136	0.46269
2	0.72915	1.26971	1.41154	1.10733	1.89920	2.68755	2.69852	0.30665
3	0.85509	49.91394	7.60074	1.59828	3.48434	46.09778	22.95818	0.18204
4	0.74366	7.67802	3.17333	1.84679	3.27286	6.25371	12.50414	0.23947
5	2.49301	0.38644	0.99530	2.24968	0.74344	0.51496	0.90349	0.18578
6	7.86468	1.30216	1.54400	1.58615	1.70255	0.87033	1.36851	0.40409
7	72.20872	0.26896	0.52861	0.78706	0.60342	0.37152	0.49848	1.16507
8	0.23014	0.18817	0.97185	0.95743	0.68378	0.54978	0.72491	1.19421
9	7.50045	1.47432	1.19170	1.00208	1.25045	1.29277	1.38620	1.22622
10	5.19357	0.94548	4.89717	2.21981	4.13493	0.50983	0.66219	0.22945
Base	100	0.69283	2.48814	42.74052	0.00094	0.00107	3.45896	37.26170
