state (Emission order)	H3K36me3	H3K79me2	H3K4me3	H3K9ac	H3K27ac	H3K4me2	H3K4me1	H3K9me3	H4K20me1	H3K27me3
1	0.009327653407268526	0.022811223613924105	0.018357728187749448	0.02705051510647526	0.06578651033656412	0.19861951819420415	0.5320325036133902	0.005809201660094702	0.04990228871006992	0.006109184193108715
2	0.03502510486729696	0.08034589381077843	0.27220525242983484	0.37388741895783734	0.876487608192336	0.7676395207457303	0.8905141055191323	0.010026845508109802	0.0545908526526442	0.003096794891177658
3	0.02568554395337287	0.4114796723478307	0.9863777933269251	0.9677326031242066	0.9050694939461792	0.9094613151269203	0.30385826273247385	0.006668552833570372	0.07956137398933653	0.005857589924356527
4	0.17083041495496012	0.5959765293297317	0.49469580734887053	0.19076666879652135	0.11266130308321352	0.8710874679893211	0.512173229863515	0.024013369400162382	0.1804391556860565	0.029952174040293864
5	0.17116481874037323	0.6471466233850757	0.0019783854805961332	0.011951933427310915	0.007786972264659225	0.018178789619618375	0.06829730339330034	0.007423225971084211	0.14866311539054752	0.0011108138129687988
6	0.01342610955445587	0.05180780647025721	0.002135127823300932	0.013206797173984012	0.0017209133588834144	0.001318968959319524	0.00656271581708234	0.03158269787426593	0.06220352850166055	0.005387121985305546
7	5.802270228014156E-4	0.002476681598169129	1.2244134883268723E-4	0.001084586231051856	6.24577800004879E-5	3.175313910586655E-4	6.232613697138128E-4	0.0028980713558211762	0.014973396337684622	0.003217299984304092
8	0.003768125171089428	0.023327915658607187	0.0019048596985763275	0.01302196148548361	9.68267531563389E-4	0.002083087443831782	0.006709390440778483	0.027831467469100094	0.8438696222626946	0.026869019208502414
9	1.4745721147383883E-4	0.008304336828610644	0.0018006650335232563	0.009756831067975792	5.559254136890498E-4	0.002785410516806442	0.0022606544890458337	0.014669395108115511	0.07475216375704806	0.25957533214022693
10	0.3282181980246754	0.0432928282759701	0.0013874300309735395	0.011209480302718509	0.0031247487314088403	8.812156756054419E-4	0.005236360658598383	0.005798648788626309	0.07167694620767932	0.0018103072954903574
